ED,Reported As,Reporting,Scattered,Total Votes,p_Scattered,winner,winner_p
73001,73001,100,0,0,0,n/a,0
73002,73002,100,0,0,0,n/a,0
73003,73003,100,0,0,0,n/a,0
73004,73004,100,0,0,0,n/a,0
73005,73005,100,0,0,0,n/a,0
73006,73006,100,0,0,0,n/a,0
73007,73007,100,0,0,0,n/a,0
73008,73008,100,0,0,0,n/a,0
73009,73009,100,0,0,0,n/a,0
73010,73010,100,0,0,0,n/a,0
73011,73011,100,0,0,0,n/a,0
73012,73012,100,0,0,0,n/a,0
73013,73013,100,0,0,0,n/a,0
73014,73014,100,0,0,0,n/a,0
73015,73015,100,0,0,0,n/a,0
73016,73016,100,0,0,0,n/a,0
73017,73017,100,0,0,0,n/a,0
73018,73018,100,0,0,0,n/a,0
73019,73019,100,1,1,1.0,Scattered,1.0
73020,73020,100,0,0,0,n/a,0
73021,73021,100,0,0,0,n/a,0
73022,73022,100,0,0,0,n/a,0
73023,73023,100,0,0,0,n/a,0
73024,73024,100,0,0,0,n/a,0
73025,73025,100,0,0,0,n/a,0
73026,73026,100,0,0,0,n/a,0
73027,73027,100,0,0,0,n/a,0
73028,73028,100,0,0,0,n/a,0
73029,73029,100,0,0,0,n/a,0
73030,73030,100,0,0,0,n/a,0
73031,73031,100,0,0,0,n/a,0
73032,73032,100,0,0,0,n/a,0
73033,73033,100,0,0,0,n/a,0
73034,73034,100,0,0,0,n/a,0
73035,73035,100,0,0,0,n/a,0
73036,73036,100,0,0,0,n/a,0
73037,73037,100,0,0,0,n/a,0
73038,73038,100,0,0,0,n/a,0
73039,73039,100,0,0,0,n/a,0
73040,73040,100,0,0,0,n/a,0
73041,73041,100,0,0,0,n/a,0
73042,73042,100,0,0,0,n/a,0
73043,73043,100,0,0,0,n/a,0
73044,73044,100,0,0,0,n/a,0
73045,73045,100,0,0,0,n/a,0
73046,73046,100,0,0,0,n/a,0
73047,73047,100,0,0,0,n/a,0
73048,73048,100,0,0,0,n/a,0
73049,73049,100,0,0,0,n/a,0
73050,73050,100,0,0,0,n/a,0
73051,73051,100,0,0,0,n/a,0
73052,73052,100,0,0,0,n/a,0
73053,73053,100,0,0,0,n/a,0
73054,73054,100,0,0,0,n/a,0
73055,73055,100,0,0,0,n/a,0
73056,73056,100,0,0,0,n/a,0
73057,73057,100,0,0,0,n/a,0
73058,73058,100,0,0,0,n/a,0
73059,73059,100,0,0,0,n/a,0
73060,73060,100,0,0,0,n/a,0
73061,73061,100,0,0,0,n/a,0
73062,73062,100,0,0,0,n/a,0
73063,73063,100,0,0,0,n/a,0
73064,73064,100,0,0,0,n/a,0
73065,73065,100,1,1,1.0,Scattered,1.0
73066,73066,100,0,0,0,n/a,0
73067,73067,100,0,0,0,n/a,0
73068,73068,100,0,0,0,n/a,0
73069,73069,100,0,0,0,n/a,0
73070,73070,100,1,1,1.0,Scattered,1.0
73071,73071,100,0,0,0,n/a,0
73072,73072,100,0,0,0,n/a,0
73073,73073,100,0,0,0,n/a,0
73074,73074,100,0,0,0,n/a,0
73075,73075,100,0,0,0,n/a,0
73076,73076,100,0,0,0,n/a,0
73077,73077,100,0,0,0,n/a,0
73078,73078,100,0,0,0,n/a,0
73079,73079,100,0,0,0,n/a,0
73080,73080,100,0,0,0,n/a,0
73081,73081,100,0,0,0,n/a,0
73082,73082,100,0,0,0,n/a,0
73083,73083,100,0,0,0,n/a,0
73084,73084,100,1,1,1.0,Scattered,1.0
73085,73085,100,0,0,0,n/a,0
73086,73086,100,0,0,0,n/a,0
73087,73087,100,0,0,0,n/a,0
73088,73088,100,0,0,0,n/a,0
73089,73089,100,0,0,0,n/a,0
73090,73090,100,0,0,0,n/a,0
73091,73091,100,0,0,0,n/a,0
73092,73092,100,0,0,0,n/a,0
73093,73093,100,0,0,0,n/a,0
73094,73094,100,1,1,1.0,Scattered,1.0
73095,73095,100,0,0,0,n/a,0
73096,73096,100,0,0,0,n/a,0
73097,73097,100,0,0,0,n/a,0
